Skyscanner Car Hire Live Prices	["Cars","Travel","Transportation"]	/skyscanner-car-hire-live-prices/1.0.0	[/poll-session, /create-session, /information]	Retrieve live prices for car hire providers. Return the details of all possible car hire quotes that satisfy the request query parameters. Prices will be obtained for the car hire quotes during the session. 
Skyscanner Flight Search	["Travel","Transportation"]	/flightsearch/1.0.0	[/liveflightsearch, /places, /localisation, /browseflightprices]	The Sky Scanner API lets you search for flight & get flight prices from Skyscanners database of prices, as well as get live quotes directly from ticketing agencies.
Ticket Master	["Events"]	/ticketmaster/1.0.0	[/getPayments, /searchEvents, /searchVenues]	 Pull events, venues, tickets, deliveries and payments.Find events, venues and filter your search by location, date, availability, and much more. 
Travel Portal	["Travel","Booking"]	/travel-portal/1.0.0	[/book, /search, /locations]	The Travel Portal API provides programmatic access to functions that allow customers to book hotels, flights, cars, and tours from the developer's websites. Travel Portal allows users to make bookings through Expedia, Cartrawler, Dohop, and Viator using its own interface. The script works in 27 languages and 21 currencies, and it is maintenance-free after setup. 
Twitter	["Social","Blogging"]	/twitter/1.0.0	[/search, /message, /ads]	The Twitter micro-blogging service includes two RESTful APIs. The Twitter REST API methods allow developers to access core Twitter data. This includes update timelines, status data, and user information. The Search API methods give developers methods to interact with Twitter Search and trends data. The API presently supports the following data formats: XML, JSON, and the RSS and Atom syndication formats, with some methods only accepting a subset of these formats. 
Uber Ride	["Travel","Transportation"]	/uber-ride/1.0.0	[/getRide, /payment, /prices]	Request an Uber ride from within your app. Allows retrieving the status of an ongoing or completed trip that was created by your app. 
Weather	["Weather"]	/weather2020/1.0.0	[/forecast, /timemachine]	This document describe a RESTFul API for Pizza Shack online pizza delivery store.

Web Search	["Data"]	/web-search/1.0.0	[/autoComplete, /webSearch, /newsSearch]	Web Search API. News API. Image API. Billions of webpages, images and news with a single API call. Build your app for free. Billions of webpages, images and news with a single API call. The API returns a list of relevant results from a search query which include images, news and related searches. 
WePay	["Payment","Finance"]	/wepay/1.0.0	[/find-account, /account, /create-account]	Integrated payments designed for platforms. Lookup the details of a payment account on WePay.  
WordsAPI	["Data"]	/wordsapi/1.0.0	[/search, /synonyms, /antonyms]	Words API lets you retrieve information about English words, including definitions, synonyms, rhymes, pronunciation, syllables, and frequency of usage. you can use Words API to search for words matching parameters you specify.
PhoneVerification	[]	/phoneverify/2.0.0	[/CheckPhoneNumber]	
